	Jedek2	Jedek34	Jedek5	Jedek31	Jedek32	Jedek38	Jedek20	Jedek16	Jahai13	Jahai6
tree	kayuʔ	kayuʔ	kayuʔ	phon	phon	phon kayuʔ	phon kayuʔ	kayuʔ	tom kayuʔ	phon kayuʔ
bark (of tree)	kulit kayuʔ	ktɨʔ	ktɨʔ kayuʔ	ktɨʔ kayuʔ	ktɨʔ kayuʔ	ktɨʔ	ktɨʔ kayuʔ	ktɨʔ kayuʔ	ktɨʔ	ktɨʔ
flower	buŋəh	buŋaʔ	buŋaʔ	buŋaʔ	buŋaʔ	buŋaʔ	buŋaʔ	buŋaʔ	buŋɛʔ	buŋaʔ
leaf	haliʔ	haliʔ	haliʔ	haliʔ	haliʔ	haliʔ	haliʔ	haliʔ	haliʔ	haliʔ
root	jʔes	ʔawɛy	jʔes	jʔes	ʔawɛy	ʔawɛy	jʔes	jʔes	ʔawɛy	ʔawɛy
fruit	kbɨʔ	kbɨʔ	kbɨʔ	kbɨʔ	kbɨʔ	kbɨʔ	kbɨʔ	kbɨʔ	kmɔʔ	kbɨʔ
seed	biji	wəh	mɛt	mɛt	mɛt	mɛt	mɛt	biji	mit	mit
rice (plant)	padiʔ	padiʔ	padiʔ	padiʔ	padiʔ	padiʔ	padiʔ	padiʔ	padɛy	padiʔ
bamboo	buloʔ	buloʔ	buloʔ	buloʔ	buloʔ	buloʔ	buloʔ	buloʔ	?	buloʔ
stick (of wood)	kayuʔ	kayuʔ	tuŋkat	tnuŋkɨn	tuŋkat	?	tnuŋkat	tuŋkat	tnuŋkɨn	tnuŋkat
stone	batuʔ	batuʔ	batuʔ	batuʔ	batuʔ	batuʔ	batuʔ	batuʔ	batuʔ	batuʔ
grass	rompot	rompot	rompot	rompot	rompot	rompot	rompot	rompot	rompot	rompot
earth (soil)	teʔ	teʔ	teʔ	teʔ	teʔ	teʔ	teʔ	teʔ	teʔ	teʔ
water	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm	tɔm
fire	ʔɔs	ʔɔs	ʔɔs	ʔɔs	ʔɔs	ʔɔs	ʔɔs	ʔɔs	ʔɔs	ʔɔs
smoke	ʔasap	ʔasɛp	ʔasɛp	ʔasɛp	ʔasɛp	ʔasɛp	ʔasɛp	ʔasɛp	ʔyʔey	ʔasɛp
ashes	ʔabuʔ	pɨp	ʔabuʔ	ʔabuʔ	pɨp	ʔabuʔ	ʔabuʔ	ʔabuʔ	ʔabuʔ	ʔabuʔ
dust	dbuʔ	?	ʔabuʔ	dbuʔ	haraŋ	?	?	ʔabuʔ	ʔabuʔ	ʔabuʔ
wind	ʔaŋin	ʔaŋin	hlhul	ʔaŋin	ʔaŋin	ʔaŋin	ʔaŋin	ʔaŋin	ʔaŋin	ʔaŋin
cloud	kabut	kabut	kabut	kabut	kabut	ʔawãn	kabut	kabut	kabut	kabut
fog	kabut	?	kabut	?	?	kabut	?	?	?	?
sky	ktɔʔ	mɛt ktɔʔ	laŋit	mɛt ktɔʔ	laŋit	laŋit	laŋit	mɛt ktɔʔ	mit ktɔʔ	ktɔʔ
sun	matəhari	mɛt ktɔʔ	mɛt ktɔʔ	mɛt ktɔʔ	mɛt ktɔʔ	mɛt ktɔʔ	mɛt ktɔʔ	mɛt ktɔʔ	mit ktɔʔ	matəhari
moon	bulan	bulan	bulan	bulan	bulan	bulan	bulan	bulan	bulan	bulan
star	bintaŋ	bintaŋ	bintaŋ	bintaŋ	bintaŋ	mintãŋ	bintaŋ	bintaŋ	bintaŋ	bintaŋ
day (opp. of night)	ktɔʔ	?	ktɔʔ	hariʔ	hariʔ	hariʔ	hariʔ	hariʔ	hariʔ	ktɔʔ
night	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	gyə̃m	hrkɨt	gyə̃m
year	tahun	tahun	tahun	tahun	tahun	tahun	tahun	tahun	cnrɔy	tahun
sand	pasi	pasi	pasi	pasi	pasi	?	pasi	pasi	pasir	pasi
sea (ocean)	lawot	lawot	lawot	lawot	lawot	?	lawot	lawot	lawot	lawot
name	namɔ	knmɔh	knmɔh	knmɔh	knmɔh	knmɔh	klmɔh	namɔ	knmɔh	knmɔh
